author|quote|source
Chuck Palahniuk|I see in the fight club the strongest and smartest men who've ever lived. I see all this potential and I see squandering. God damn it, an entire generation pumping gas, waiting tables, slaves with white collars, advertising has us chasing cars and clothes, working jobs we hate so we can buy shit we don't need. We're the middle children of the history man, no purpose or place, we have no Great war, no Great depression, our great war is a spiritual war, our great depression is our lives, we've been all raised by television to believe that one day we'd all be millionaires and movie gods and rock stars, but we won't and we're slowly learning that fact. and we're very very pissed off.|Fight Club
Samuel Beckett|I can't go on, I'll go on.|I Can't Go On, I'll Go On: A Samuel Beckett Reader
Charles Bukowski|I was drawn to all the wrong things: I liked to drink, I was lazy, I didn't have a god, politics, ideas, ideals. I was settled into nothingness; a kind of non-being, and I accepted it. I didn't make for an interesting person. I didn't want to be interesting, it was too hard. What I really wanted was only a soft, hazy space to live in, and to be left alone. On the other hand, when I got drunk I screamed, went crazy, got all out of hand. One kind of behavior didn't fit the other. I didn't care.|Women
Chuck Palahniuk|If you could be either God’s worst enemy or nothing, which would you choose?|Fight Club
A.A. Milne|"There must be somebody there, because somebody must have said ""Nobody."|Winnie-the-Pooh
Brent Weeks|Do you know what punishments I've endured for my crimes, my sins? None. I am proof of the absurdity of men's most treasured abstractions. A just universe wouldn't tolerate my existence.|The Way of Shadows
Fyodor Dostoyevsky|Lack of originality, everywhere, all over the world, from time immemorial, has always been considered the foremost quality and the recommendation of the active, efficient and practical man.|The Idiot
Joseph Heller|Man was matter, that was Snowden's secret. Drop him out a window, and he'll fall. Set fire to him and he'll burn. Bury him and he'll rot, like other kinds of garbage. The spirit gone, man is garbage. That was Snowden's secret. Ripeness was all.|Catch-22
Alan Moore|Why do we argue? Life's so fragile, a successful virus clinging to a speck of mud, suspended in endless nothing.|Watchmen
Cormac McCarthy|The point is there ain't no point.|No Country for Old Men
John Fowles|I think we are just insects, we live a bit and then die and that’s the lot. There’s no mercy in things. There’s not even a Great Beyond. There’s nothing.|The Collector
Eugène Ionesco|That's how we stay young these days: murder and suicide.|Man With Bags
Viktor E. Frankl|But today’s society is characterized by achievement orientation, and consequently it adores people who are successful and happy and, in particular, it adores the young. It virtually ignores the value of all those who are otherwise, and in so doing blurs the decisive difference between being valuable in the sense of dignity and being valuable in the sense of usefulness. If one is not cognizant of this difference and holds that an individual’s value stems only from his present usefulness, then, believe me, one owes it only to personal inconsistency not to plead for euthanasia along the lines of Hitler’s program, that is to say, ‘mercy’ killing of all those who have lost their social usefulness, be it because of old age, incurable illness, mental deterioration, or whatever handicap they may suffer. Confounding the dignity of man with mere usefulness arises from conceptual confusion that in turn may be traced back to the contemporary nihilism transmitted on many an academic campus and many an analytical couch.|Man's Search for Meaning
Bret Easton Ellis|Disappear Here.The syringe fills with blood.You're a beautiful boy and that's all that matters.Wonder if he's for sale.People are afraid to merge. To merge.|Less Than Zero
Albert Camus|If we believe in nothing, if nothing has any meaning and if we can affirm no values whatsoever, then everything is possible and nothing has any importance.|The Rebel: An Essay on Man in Revolt
Cornel West|Nihilism is a natural consequence of a culture (or civilization) ruled and regulated by categories that mask manipulation, mastery and domination of peoples and nature.|The Cornel West Reader
Flannery O'Connor|If you live today, you breath in nihilism ... it's the gas you breathe. If I hadn't had the Church to fight it with or to tell me the necessity of fighting it, I would be the stinkingest logical positivist you ever saw right now.|
Guy de Maupassant|I told myself: 'I am surrounded by unknown things.' I imagined man without ears, suspecting the existence of sound as we suspect so many hidden mysteries, man noting acoustic phenomena whose nature and provenance he cannot determine. And I grew afraid of everything around me – afraid of the air, afraid of the night. From the moment we can know almost nothing, and from the moment that everything is limitless, what remains? Does emptiness actually not exist? What does exist in this apparent emptiness?|Complete Works
Alan Moore|I sat on the bed. I looked at the Rorschach blot. I tried to make it look like a spreading tree, shadows pooled beneath it, but it didn't. It looked more like a dead cat I once found, the fat, glistening grubs writhing blindly, squirming over each other, frantically tunneling away from the light. But even that isn't the real horror. The horror is this: in the end, it is simply a picture of empty meaningless blackness.|Watchmen
Friedrich Nietzsche|"Virtue is under certain circumstances merely an honorable form of stupidity: who could be ill-disposed toward it on that account? And this kind of virtue has not been outlived even today. A kind of sturdy peasant simplicity, which, however, is possible in all classes and can be encountered only with respect and a smile, believes even today that everything is in good hands, namely in the ""hands of God""; and when it maintains this proportion with the same modest certainty as it would that two and two make four, we others certainly refrain from contradicting. Why disturb THIS pure foolishness? Why darken it with our worries about man, people, goal, future? And even if we wanted to do it, we could not. They project their own honorable stupidity and goodness into the heart of things (the old God, deus myops, still lives among them!); we others — we read something else into the heart of things: our own enigmatic nature, our contradictions, our deeper, more painful, more mistrustful wisdom."|The Will to Power
Gorgias|Nothing exists; even if something exists, nothing can be known about it; and even if something can be known about it, knowledge about it can't be communicated to others.|
Friedrich Nietzsche|It is a self-deception of philosophers and moralists to imagine that they escape decadence by opposing it. That is beyond their will; and, however little they acknowledge it, one later discovers that they were among the most powerful promoters of decadence.|The Will to Power
Seraphim Rose|Atheism, true 'existential' atheism burning with hatred of a seemingly unjust or unmerciful God, is a spiritual state; it is a real attempt to grapple with the true God.… Nietzsche, in calling himself Antichrist, proved thereby his intense hunger for Christ.|Nihilism: The Root of the Revolution of the Modern Age
